id	text
ctx001	The solar system consists of eight planets orbiting around the Sun. Mercury is the closest planet to the Sun and has no atmosphere. Venus is similar in size to Earth but has a thick, toxic atmosphere. Earth is the only known planet to support life, with liquid water on its surface. Mars is known as the Red Planet due to iron oxide on its surface. Jupiter is the largest planet, a gas giant with the Great Red Spot storm. Saturn is famous for its extensive ring system. Uranus rotates on its side and has a blue-green color from methane. Neptune is the farthest planet from the Sun and has the strongest winds.
ctx002	Photosynthesis is the process by which plants convert sunlight into energy. During photosynthesis, plants use chlorophyll to absorb sunlight, carbon dioxide from the air, and water from the soil. These ingredients are converted into glucose and oxygen. The glucose serves as food for the plant, while oxygen is released into the atmosphere. This process occurs primarily in the leaves of plants, specifically in the chloroplasts. Photosynthesis is essential for life on Earth as it produces oxygen and forms the base of most food chains.
ctx003	The American Civil War was fought from 1861 to 1865 between the Northern states (the Union) and the Southern states (the Confederacy). The primary causes of the war were slavery and states' rights. The Union was led by President Abraham Lincoln, while the Confederacy was led by President Jefferson Davis. Major battles included Gettysburg, Antietam, and Vicksburg. The war ended with the Union victory and the abolition of slavery through the 13th Amendment. Over 600,000 soldiers died in the conflict, making it the deadliest war in American history.
ctx004	DNA, or deoxyribonucleic acid, is the molecule that carries genetic information in living organisms. DNA has a double helix structure, with two strands twisted around each other. Each strand is made of nucleotides, which contain one of four bases: adenine, thymine, guanine, and cytosine. Adenine pairs with thymine, and guanine pairs with cytosine. DNA is found in the nucleus of cells and is organized into structures called chromosomes. Humans have 23 pairs of chromosomes, containing approximately 3 billion base pairs of DNA.
ctx005	The Industrial Revolution began in Britain in the late 18th century and spread to other parts of the world. It was characterized by the transition from hand production to machine manufacturing. Key inventions included the steam engine, spinning jenny, and power loom. The revolution led to urbanization as people moved from rural areas to cities for factory work. It also increased production efficiency and led to the rise of capitalism. However, it also resulted in poor working conditions, child labor, and environmental pollution. The Industrial Revolution fundamentally changed society and economy.
ctx006	Quantum mechanics is a fundamental theory in physics that describes nature at the smallest scales. Key principles include wave-particle duality, uncertainty principle, and superposition. According to wave-particle duality, particles can exhibit both wave-like and particle-like properties. The uncertainty principle states that certain pairs of physical properties cannot be simultaneously measured with perfect precision. Superposition allows quantum systems to exist in multiple states at once until measured. Quantum mechanics has led to technologies like transistors, lasers, and quantum computers.
ctx007	The human heart is a muscular organ that pumps blood throughout the body. It has four chambers: the right atrium, right ventricle, left atrium, and left ventricle. Blood enters the right atrium from the body, moves to the right ventricle, and is pumped to the lungs for oxygenation. Oxygenated blood returns to the left atrium, moves to the left ventricle, and is pumped to the body. The heart's electrical system controls the heartbeat, with the sinoatrial node acting as the natural pacemaker. A healthy heart beats approximately 60-100 times per minute at rest.
ctx008	Climate change refers to long-term shifts in global temperatures and weather patterns. The primary cause is the burning of fossil fuels, which releases greenhouse gases like carbon dioxide and methane into the atmosphere. These gases trap heat, causing global temperatures to rise. Effects of climate change include rising sea levels, melting ice caps, more frequent extreme weather events, and changes in ecosystems. International efforts to address climate change include the Paris Agreement, which aims to limit global warming to well below 2 degrees Celsius. Renewable energy sources like solar and wind power are being developed to reduce greenhouse gas emissions.
ctx009	The Renaissance was a cultural movement that began in Italy in the 14th century and spread throughout Europe. It marked the transition from the Middle Ages to modernity. Key aspects included a revival of classical learning, emphasis on humanism, and advancements in art, science, and literature. Notable figures included Leonardo da Vinci, Michelangelo, Galileo, and Shakespeare. The printing press, invented by Gutenberg, helped spread ideas rapidly. The Renaissance led to increased scientific inquiry, secular thinking, and individual expression. Its legacy continues to influence Western culture today.
ctx010	Machine learning is a subset of artificial intelligence that enables computers to learn from data without explicit programming. There are three main types: supervised learning, unsupervised learning, and reinforcement learning. Supervised learning uses labeled data to train models, while unsupervised learning finds patterns in unlabeled data. Reinforcement learning involves an agent learning through trial and error by interacting with an environment. Common algorithms include neural networks, decision trees, support vector machines, and k-means clustering. Machine learning is used in applications like image recognition, natural language processing, and recommendation systems.
